Test at 17:52,,,,y = 2E-10x3 - 2E-06x2 + 0.0058x + 49.68
21,54,3560003,00:59:20.3,
21,54,3565003,00:59:25.3,
21,54,3570003,00:59:30.3,
21,54,3575003,00:59:35.3,
21,54,3580003,00:59:40.3,
21,54,3585003,00:59:45.3,
21,54,3590003,00:59:50.3,
21,54,3595003,00:59:55.3,
21,54,3600003,01:00:00.3,
21,54,3605003,01:00:05.3,
21,54,3610003,01:00:10.3,
21,54,3615003,01:00:15.3,
21,54,3620003,01:00:20.3,
21,54,3625004,01:00:25.4,
20,54,3630003,01:00:30.3,
21,54,3635003,01:00:35.3,
21,54,3640003,01:00:40.3,
21,54,3645003,01:00:45.3,
21,54,3650003,01:00:50.3,
21,54,3655003,01:00:55.3,
21,54,3660003,01:01:00.3,
21,54,3665004,01:01:05.4,
21,54,3670003,01:01:10.3,
21,54,3675003,01:01:15.3,
21,54,3680003,01:01:20.3,
21,54,3685003,01:01:25.3,
21,54,3690003,01:01:30.3,
21,54,3695003,01:01:35.3,
21,54,3700003,01:01:40.3,
21,54,3705004,01:01:45.4,
21,54,3710003,01:01:50.3,
21,54,3715003,01:01:55.3,
21,54,3720003,01:02:00.3,
21,54,3725003,01:02:05.3,
21,54,3730003,01:02:10.3,
21,54,3735003,01:02:15.3,
21,54,3740003,01:02:20.3,
21,54,3745003,01:02:25.3,
21,54,3750003,01:02:30.3,
21,54,3755003,01:02:35.3,
21,54,3760003,01:02:40.3,
21,54,3765003,01:02:45.3,
21,54,3770003,01:02:50.3,
21,54,3775003,01:02:55.3,
21,54,3780003,01:03:00.3,
21,54,3785004,01:03:05.4,
21,54,3790003,01:03:10.3,
21,54,3795003,01:03:15.3,
21,54,3800003,01:03:20.3,
21,54,3805003,01:03:25.3,
21,54,3810003,01:03:30.3,
21,54,3815003,01:03:35.3,
21,54,3820003,01:03:40.3,
21,54,3825003,01:03:45.3,
21,54,3830003,01:03:50.3,
21,54,3835003,01:03:55.3,
21,54,3840003,01:04:00.3,
21,54,3845003,01:04:05.3,
21,54,3850003,01:04:10.3,
21,54,3855003,01:04:15.3,
21,54,3860003,01:04:20.3,
21,54,3865004,01:04:25.4,
21,54,3870003,01:04:30.3,
21,54,3875003,01:04:35.3,
